Property_ID,Latitude,Longitude,Property_Price,Property_Size_sqft,Bedrooms,Bathrooms,Property_Type,Transaction_Type,Consumer_Income,Consumer_Age,Purchase_Score,Distance_to_City_km,Region
1,8.843151,76.716588,300086,830,2,4,Apartment,Sale,121027,43,4.22,13.44,South
2,11.662811,79.80582,469136,774,3,2,House,Sale,22507,49,1.36,37.86,North
3,11.858715,76.865492,369916,1578,5,2,House,Rent,95307,67,9.47,45.99,North
4,8.58486,78.902545,328160,3508,3,2,Apartment,Rent,146507,35,2.25,3.87,North
5,11.301724,79.769975,407669,1882,1,2,Apartment,Rent,77576,63,1.1,15.04,West
6,8.082475,77.091004,431850,581,4,4,House,Sale,65720,45,9.06,43.26,West
7,8.235411,76.0881,142472,832,4,2,Villa,Sale,109063,53,4.66,40.57,East
8,9.214189,78.610012,181836,3640,5,2,Apartment,Sale,94875,21,9.51,12.94,East
9,12.691861,77.202139,177773,3097,3,1,Apartment,Rent,46540,47,5.47,5.55,North
10,11.743854,77.68122,93592,998,2,1,House,Sale,34343,39,6.75,45.24,North
11,8.04011,79.579724,336161,2236,5,1,Apartment,Rent,51867,45,1.93,24.61,North
12,9.602035,79.0258,57546,3867,2,3,House,Rent,147046,61,6.84,15.36,North
13,9.15304,78.472806,306203,755,4,4,Villa,Sale,40410,47,6.26,20.07,South
14,9.524051,78.465477,56392,1207,5,3,Apartment,Rent,57108,62,8.6,16.76,North
15,8.255949,79.855116,78132,2672,1,4,Apartment,Rent,86956,60,5.03,41.83,East
16,8.628417,79.975732,302789,1809,5,1,Villa,Sale,147233,55,3.88,2.24,North
17,11.075371,76.835371,397144,3266,2,2,Villa,Sale,77191,34,7.9,9.42,South
18,9.904868,77.35058,276626,1131,1,2,Villa,Rent,42081,53,6.89,30.2,South
19,11.061513,77.873316,433222,2220,3,2,Apartment,Sale,42668,38,7.33,10.55,West
20,11.243665,76.410376,269110,875,1,2,Apartment,Rent,128896,65,9.66,23.94,North
